SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,35-39,35,5,16.25,4.927,62.618
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,40-44,40,5,2.528,0.767,8.577
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,45-49,45,5,0.161,0.049,0.448
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,50-54,50,5,0.072,0.022,0.184
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,15-19,15,5,4.706,1.074,25.812
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,20-24,20,5,105.296,24.024,489.647
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,25-29,25,5,213.854,48.792,946.315
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,30-34,30,5,91.167,20.8,390.18
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,35-39,35,5,20.156,4.599,79.183
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,40-44,40,5,2.818,0.643,9.864
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,45-49,45,5,0.212,0.048,0.611
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1967,1967.5,50-54,50,5,0.09,0.02,0.231
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,15-19,15,5,4.755,1.141,24.55
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,20-24,20,5,91.508,21.952,447.28
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,25-29,25,5,209.782,50.324,954.81
